epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,244.847,0.99911,0.73189,0.90267,0.6155,0.67222,0.64324,0.28308,1.61071,1.65251,1.08498,0.0011719,0.0011719,0.0011719
77,247.705,1.00529,0.7196,0.91286,0.65851,0.63254,0.64708,0.28487,1.58846,1.61097,1.07696,0.0011653,0.0011653,0.0011653
78,250.628,1.02726,0.70204,0.90171,0.57547,0.6665,0.57523,0.26038,1.68536,1.50686,1.0895,0.0011587,0.0011587,0.0011587
79,253.565,1.02422,0.70405,0.90921,0.63911,0.6502,0.629,0.29402,1.6595,1.40127,1.08088,0.0011521,0.0011521,0.0011521
80,256.543,0.95722,0.6653,0.91251,0.62475,0.70079,0.62894,0.28874,1.595,1.52832,1.08753,0.0011455,0.0011455,0.0011455
81,259.338,1.0189,0.64536,0.93864,0.53726,0.70887,0.59758,0.26772,1.62475,1.83435,1.10415,0.00113889,0.00113889,0.00113889
82,262.2,1.02441,0.70659,0.9158,0.66451,0.57698,0.56237,0.24078,1.68595,1.92622,1.08812,0.00113229,0.00113229,0.00113229
83,265.199,0.98456,0.6814,0.9044,0.57411,0.66198,0.59497,0.26978,1.66306,1.82722,1.08252,0.00112569,0.00112569,0.00112569
84,268.146,1.00796,0.70291,0.91706,0.62413,0.6697,0.63579,0.30075,1.61186,1.59871,1.08324,0.00111909,0.00111909,0.00111909
85,271.042,0.91926,0.65045,0.90598,0.65499,0.66621,0.6527,0.30199,1.61469,1.56023,1.08269,0.00111249,0.00111249,0.00111249
86,273.99,0.9037,0.65117,0.87981,0.58241,0.64921,0.61532,0.29447,1.67419,1.53767,1.08786,0.00110589,0.00110589,0.00110589
87,276.831,0.92337,0.64702,0.88362,0.65935,0.6254,0.6219,0.28362,1.7364,1.57215,1.10326,0.00109929,0.00109929,0.00109929
88,279.728,0.93706,0.63779,0.9053,0.66899,0.66961,0.66953,0.28884,1.69026,1.61458,1.10917,0.00109269,0.00109269,0.00109269
89,282.791,0.94826,0.64719,0.89971,0.62389,0.66173,0.63921,0.28187,1.69165,1.6376,1.10479,0.00108608,0.00108608,0.00108608
90,285.748,0.95957,0.63285,0.91457,0.58945,0.65397,0.60379,0.28142,1.68725,1.70208,1.07891,0.00107948,0.00107948,0.00107948
91,288.708,0.95331,0.63635,0.88208,0.71026,0.59388,0.64737,0.30167,1.62137,1.62888,1.0592,0.00107288,0.00107288,0.00107288
92,291.574,0.92989,0.654,0.90585,0.53982,0.65476,0.57184,0.26412,1.60568,1.77017,1.06728,0.00106628,0.00106628,0.00106628
93,294.391,0.99272,0.66725,0.93044,0.56258,0.62982,0.54415,0.24703,1.59572,2.02598,1.06906,0.00105968,0.00105968,0.00105968
94,297.361,0.9285,0.62613,0.89035,0.60654,0.68222,0.60825,0.26767,1.59625,1.96609,1.07449,0.00105308,0.00105308,0.00105308
95,300.354,0.95339,0.66898,0.89185,0.55843,0.66112,0.58372,0.25863,1.7035,1.89439,1.10428,0.00104648,0.00104648,0.00104648
96,303.134,0.91325,0.61078,0.87512,0.61808,0.65915,0.58691,0.25188,1.56519,1.9545,1.0638,0.00103987,0.00103987,0.00103987
97,306.08,0.943,0.63626,0.88187,0.64837,0.6381,0.55108,0.23779,1.57285,2.01534,1.06549,0.00103327,0.00103327,0.00103327
98,309.101,0.86925,0.56756,0.8645,0.62173,0.64169,0.55935,0.26386,1.56423,1.70735,1.06291,0.00102667,0.00102667,0.00102667
99,312.041,0.91097,0.58543,0.88543,0.69398,0.63651,0.6246,0.28695,1.58065,1.53692,1.06542,0.00102007,0.00102007,0.00102007
100,314.972,0.87611,0.57166,0.88754,0.70667,0.69859,0.67721,0.31959,1.58696,1.4376,1.07317,0.00101347,0.00101347,0.00101347
101,317.849,0.86681,0.60649,0.88841,0.75197,0.66073,0.68878,0.32376,1.60636,1.44351,1.07986,0.00100687,0.00100687,0.00100687
102,320.789,0.8711,0.58808,0.878,0.7701,0.66508,0.69165,0.31936,1.61406,1.56375,1.08162,0.00100027,0.00100027,0.00100027
103,323.801,0.87259,0.57961,0.89494,0.74666,0.65366,0.6789,0.30952,1.60977,1.64546,1.06001,0.000993665,0.000993665,0.000993665
104,326.791,0.89429,0.61761,0.87828,0.70681,0.68618,0.67995,0.30514,1.6251,1.59205,1.05623,0.000987064,0.000987064,0.000987064
105,329.664,0.88903,0.58804,0.85863,0.69522,0.68527,0.69628,0.31791,1.59838,1.59993,1.05178,0.000980463,0.000980463,0.000980463
106,332.749,0.95553,0.62329,0.88753,0.60581,0.72402,0.67974,0.32835,1.56568,1.84465,1.04488,0.000973861,0.000973861,0.000973861
